"situation","Date","pla","somupvtsem","laimax","laisen_n","hauteur","raint","trg_n","ilevs","iamfs","ilaxs","densite","demande","codebbch_output","masec_n","masecveg","masec_kg_ha","mafeuil_kg_ha","matigestruc_kg_ha","Plant","Dominance","algorithm"
"usm_1",2018-05-15,"mai",0,0,0,0,0,23.1,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-15,"mai",0,0,0,0,0,23.1,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-15,"sor",0,0,0,0,0,23.1,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-15,"sor",0,0,0,0,0,23.1,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-16,"mai",0,0,0,0,0,20.7,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-16,"mai",0,0,0,0,0,20.7,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-16,"sor",0,0,0,0,0,20.7,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-16,"sor",0,0,0,0,0,20.7,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-17,"mai",0,0,0,0,0,20.6,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-17,"mai",0,0,0,0,0,20.6,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-17,"sor",0,0,0,0,0,20.6,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-17,"sor",0,0,0,0,0,20.6,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-18,"mai",0,0,0,0,0,18.1,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-18,"mai",0,0,0,0,0,18.1,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-18,"sor",0,0,0,0,0,18.1,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-18,"sor",0,0,0,0,0,18.1,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-19,"mai",0,0,0,0,0,20.8,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-19,"mai",0,0,0,0,0,20.8,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-19,"sor",0,0,0,0,0,20.8,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-19,"sor",0,0,0,0,0,20.8,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-20,"mai",0,0,0,0,0,19.4,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-20,"mai",0,0,0,0,0,19.4,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-20,"sor",0,0,0,0,0,19.4,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-20,"sor",0,0,0,0,0,19.4,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-21,"mai",0,0,0,0,0,14.3,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-21,"mai",0,0,0,0,0,14.3,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-21,"sor",0,0,0,0,0,14.3,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-21,"sor",0,0,0,0,0,14.3,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-22,"mai",0,0,0,0,0,22,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-22,"mai",0,0,0,0,0,22,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-22,"sor",0,0,0,0,0,22,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-22,"sor",0,0,0,0,0,22,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-23,"mai",0,0,0,0,0,19.3,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-23,"mai",0,0,0,0,0,19.3,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-23,"sor",0,0,0,0,0,19.3,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-23,"sor",0,0,0,0,0,19.3,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-24,"mai",0,0,0,0,0,21.9,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-24,"mai",0,0,0,0,0,21.9,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-24,"sor",0,0,0,0,0,21.9,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-24,"sor",0,0,0,0,0,21.9,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-25,"mai",0,0,0,0,0,20.2,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-25,"mai",0,0,0,0,0,20.2,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-25,"sor",0,0,0,0,0,20.2,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-25,"sor",0,0,0,0,0,20.2,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-26,"mai",0,0,0,0,0,16.9,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-26,"mai",0,0,0,0,0,16.9,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-26,"sor",0,0,0,0,0,16.9,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-26,"sor",0,0,0,0,0,16.9,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-27,"mai",0,0,0,0,0,22,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-27,"mai",0,0,0,0,0,22,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-27,"sor",0,0,0,0,0,22,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-27,"sor",0,0,0,0,0,22,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-28,"mai",0,0,0,0,0,15.6,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-28,"mai",0,0,0,0,0,15.6,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-28,"sor",0,0,0,0,0,15.6,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-28,"sor",0,0,0,0,0,15.6,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-29,"mai",0,0,0,0,0,21.2,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-29,"mai",0,0,0,0,0,21.2,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-29,"sor",0,0,0,0,0,21.2,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-29,"sor",0,0,0,0,0,21.2,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-30,"mai",0,0,0,0,0,8.9,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-30,"mai",0,0,0,0,0,8.9,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-30,"sor",0,0,0,0,0,8.9,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-30,"sor",0,0,0,0,0,8.9,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","Beer"
"usm_1",2018-05-31,"mai",0,0,0,0,0,21.4,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","2.5D"
"usm_1",2018-05-31,"mai",0,0,0,0,0,21.4,186,215,242,3.125,0,-1,0,0,0,0,0,"maize","Associated","Beer"
"usm_1",2018-05-31,"sor",0,0,0,0,0,21.4,188,232,242,3.125,0,-1,0,0,0,0,0,"sorghum","Principal","2.5D"
