"species_id","species_principal","species_secondary","design","row_orientation","interrow_distance_principal","interrow_distance_secondary","n_rows_principal","n_rows_secondary","intrarow_distance","sowing_date_latest_crop"
"sorghum-maize","sorghum","maize","intercrop mixed","N-S","middle","middle","one","one","high","same"
"sorghum-maize","sorghum","maize","intercrop mixed","N-S","middle","middle","one","one","middle","same"
"sorghum-maize","sorghum","maize","intercrop mixed","N-S","middle","middle","one","one","low","same"
"sorghum-maize","sorghum","maize","intercrop alternate","N-S","high","high","one","one","middle","same"
"sorghum-maize","sorghum","maize","intercrop alternate","N-S","middle","middle","one","one","middle","same"
"sorghum-maize","sorghum","maize","intercrop alternate","N-S","low","low","one","one","middle","same"
"sorghum-maize","sorghum","maize","intercrop alternate","E-W","high","high","one","one","middle","same"
"sorghum-maize","sorghum","maize","intercrop alternate","E-W","middle","middle","one","one","middle","same"
"sorghum-maize","sorghum","maize","intercrop alternate","E-W","low","low","one","one","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","high","high","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","high","high","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","high","middle","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","high","middle","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","high","low","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","high","low","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","middle","high","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","middle","high","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","middle","middle","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","middle","middle","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","middle","low","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","middle","low","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","low","high","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","low","high","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","low","middle","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","low","middle","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","low","low","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","N-S","middle","middle","low","low","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","high","high","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","high","high","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","high","middle","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","high","middle","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","high","low","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","high","low","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","middle","high","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","middle","high","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","middle","middle","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","middle","middle","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","middle","low","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","middle","low","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","low","high","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","low","high","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","low","middle","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","low","middle","middle","later"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","low","low","middle","same"
"sorghum-maize","sorghum","maize","intercrop strips","E-W","middle","middle","low","low","middle","later"
