"species_id","species_principal","species_secondary","design","row_orientation","interrow_distance_principal","interrow_distance_secondary","n_rows_principal","n_rows_secondary","intrarow_distance","sowing_date_latest_crop","interrow_stics","sowing_density"
"sorghum-maize_trop","sorghum","maize_trop","intercrop mixed","N-S","middle","middle","one","one","high","same",0.6,4.16666666666667
"sorghum-maize_trop","sorghum","maize_trop","intercrop mixed","N-S","middle","middle","one","one","middle","same",0.6,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop mixed","N-S","middle","middle","one","one","low","same",0.6,8.33333333333333
"sorghum-maize_trop","sorghum","maize_trop","intercrop alternate","N-S","high","high","one","one","middle","same",1.8,3.7037037037037
"sorghum-maize_trop","sorghum","maize_trop","intercrop alternate","N-S","middle","middle","one","one","middle","same",1.2,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop alternate","N-S","low","low","one","one","middle","same",0.6,11.1111111111111
"sorghum-maize_trop","sorghum","maize_trop","intercrop alternate","E-W","high","high","one","one","middle","same",1.8,3.7037037037037
"sorghum-maize_trop","sorghum","maize_trop","intercrop alternate","E-W","middle","middle","one","one","middle","same",1.2,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop alternate","E-W","low","low","one","one","middle","same",0.6,11.1111111111111
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","high","high","middle","same",7.2,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","high","high","middle","later",7.2,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","high","middle","middle","same",6,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","high","middle","middle","later",6,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","high","low","middle","same",4.8,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","high","low","middle","later",4.8,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","middle","high","middle","same",6,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","middle","high","middle","later",6,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","middle","middle","middle","same",4.8,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","middle","middle","middle","later",4.8,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","middle","low","middle","same",3.6,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","middle","low","middle","later",3.6,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","low","high","middle","same",4.8,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","low","high","middle","later",4.8,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","low","middle","middle","same",3.6,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","low","middle","middle","later",3.6,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","low","low","middle","same",2.4,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","N-S","middle","middle","low","low","middle","later",2.4,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","E-W","middle","middle","high","high","middle","same",7.2,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","E-W","middle","middle","high","high","middle","later",7.2,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","E-W","middle","middle","high","middle","middle","same",6,5.55555555555556
"sorghum-maize_trop","sorghum","maize_trop","intercrop strips","E-W","middle","middle","high","middle","middle","later",6,5.55555555555556
